Consumer,Loyalty,Usage,AgeGroup
1,9.05,9.41,8
2,9.24,8.98,6
3,9.71,8.8,8
4,9.08,9.03,6
5,9.6,8.72,8
6,8.02,8.33,7
7,8.87,8.37,10
8,8.34,7.87,10
9,8.25,7.65,6
10,8.28,8.74,6
11,8.31,8.74,9
12,9.78,9.31,8
13,9.96,6.71,9
14,9.68,8.59,9
15,9.84,7.96,8
16,9.13,7.79,8
17,7.09,4.92,9
18,7.75,6.75,8
19,7.25,5.92,10
20,7.27,7.27,9
21,6.31,6.94,7
22,6.58,6.8,6
23,6.26,4.83,7
24,6.43,6.04,5
25,8.83,2.91,6
26,8.14,4.38,5
27,8.52,1.78,7
28,8.02,2.15,5
29,8.68,1.4,7
30,8.55,1.17,4
31,8.21,2.14,4
32,8.5,1.86,5
33,8.91,3.48,6
34,8.22,1.75,6
35,8.36,1.23,6
36,8.03,5.42,5
37,8.17,5.48,4
38,8.23,2.12,7
39,2.19,2.74,4
40,5.97,1.97,4
41,5.96,2.27,1
42,5.78,1.71,5
43,5.35,0.96,1
44,5.74,1.79,3
45,4.59,2.89,3
46,4.69,2.8,4
47,4.02,1.95,4
48,4.22,0.69,2
49,4.07,3.73,4
50,4.13,3.16,5
51,4.73,7.66,3
52,4.19,6.08,5
53,4.47,7.76,2
54,4.72,6.44,2
55,4.58,3.65,1
56,3.5,2.93,4
57,3.94,1.98,3
58,3.65,3.21,2
59,3.98,4.06,4
60,5.64,2.77,3
61,2.89,6.24,3
62,2.55,6.46,3
63,2.25,5.7,2
64,2.47,5.89,5
65,2.23,5.93,4
66,2.41,5.58,3
67,2.66,9.16,5
68,2.45,8.56,7
69,5.06,2.69,3
70,5.25,3.86,3
71,5.78,3.72,5
72,5.46,3.24,7
73,5.78,4.36,3
74,5.49,5.06,4
75,5.51,4.42,6
76,5.13,3.03,7
77,5.67,3.79,5
78,2.84,4.56,4
79,2.35,3.53,3
80,2.15,5.25,2
81,2.45,5.88,1
82,2.07,4.85,4
83,2.59,3.85,3
84,2.96,9.41,3
85,2.51,0.59,2
86,3.61,1.18,2
87,3.32,1.26,1
88,2.04,1.29,1
89,2.96,0.94,5
90,3,1.24,3
91,2.65,1.24,2
92,2.32,1,2
93,1.32,1.37,2
94,1.1,0.85,3
95,1.85,0.81,3
96,1.56,1.05,2
97,1.06,1.36,1
98,1.84,1.3,2
99,1.43,0.67,1
100,1.81,0.5,2
